"postcode sector","All usual residents aged 3 and over","English (English or Welsh if in Wales)","Welsh/Cymraeg (in England only)","Other UK language: Total","Other UK language: Gaelic (Irish)","Other UK language: Gaelic (Scottish)","Other UK language: Manx Gaelic","Other UK language: Gaelic (Not otherwise specified)","Other UK language: Cornish","Other UK language: Scots","Other UK language: Gypsy/Traveller languages","French","Portuguese","Spanish","Other European Language (EU): Total","Other European Language (EU): Italian","Other European Language (EU): German","Other European Language (EU): Polish","Other European Language (EU): Slovak","Other European Language (EU): Czech","Other European Language (EU): Romanian","Other European Language (EU): Lithuanian","Other European Language (EU): Latvian","Other European Language (EU): Hungarian","Other European Language (EU): Bulgarian","Other European Language (EU): Greek","Other European Language (EU): Dutch","Other European Language (EU): Swedish","Other European Language (EU): Danish","Other European Language (EU): Finnish","Other European Language (EU): Estonian","Other European Language (EU): Slovenian","Other European Language (EU): Maltese","Other European Language (EU): Any other European Language (EU)","Other European Language (non EU): Total","Other European Language (non EU): Albanian","Other European Language (non EU): Serbian/Croatian/Bosnian","Other European Language (non EU): Ukrainian","Other European Language (non EU): Any other Eastern European Language (non EU)","Other European Language (non EU): Northern European Language (non EU)","Other European Language (non-national): Total","Other European Language (non-national): Romani language (any)","Other European Language (non-national): Yiddish","Russian","Turkish","Arabic","West/Central Asian Language: Total","West/Central Asian Language: Hebrew","West/Central Asian Language: Kurdish","West/Central Asian Language: Persian/Farsi","West/Central Asian Language: Pashto","West/Central Asian Language: West/Central Asian Language (all other)","South Asian Language: Total","South Asian Language: Urdu","South Asian Language: Hindi","South Asian Language: Panjabi","South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)","South Asian Language: Bengali (with Sylheti and Chatgaya)","South Asian Language: Gujarati","South Asian Language: Marathi","South Asian Language: Telugu","South Asian Language: Tamil","South Asian Language: Malayalam","South Asian Language: Sinhala","South Asian Language: Nepalese","South Asian Language: South Asian Language (all other)","East Asian Language: Total","East Asian Language: Mandarin Chinese","East Asian Language: Cantonese Chinese","East Asian Language: All other Chinese","East Asian Language: Japanese","East Asian Language: Korean","East Asian Language: Vietnamese","East Asian Language: Thai","East Asian Language: Malay","East Asian Language: Tagalog/Filipino","East Asian Language: East Asian Language (all other)","Oceanic/Australian language (any)","North/South American language (any)","Caribbean Creole: Total","Caribbean Creole: Caribbean Creole (English-based)","Caribbean Creole: Caribbean Creole (all other)","African Language: Total","African Language: Amharic","African Language: Tigrinya","African Language: Somali","African Language: Krio","African Language: Akan","African Language: Yoruba","African Language: Igbo","African Language: Swahili/Kiswahili","African Language: Luganda","African Language: Lingala","African Language: Shona","African Language: Afrikaans","African Language: Any other Nigerian language","African Language: West African language (all other)","African Language: African language (all other)","Other Languages: Total","Other Languages: All other languages","Sign Language: Total","Sign Language: British sign language","Sign Language: Sign Language (all other)","Sign Language: Any Sign Communication System"

"DE3  0",7711,7508,1,0,0,0,0,0,0,0,0,5,1,9,52,1,9,14,3,1,1,5,0,5,5,5,0,1,0,0,0,0,2,0,5,0,3,1,0,1,0,0,0,5,1,8,8,0,5,1,0,2,65,14,2,36,0,2,3,0,0,2,4,0,2,0,24,0,4,7,8,0,2,2,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,1,1,8,8,0,0
"DE3  9",8817,8458,0,1,0,0,0,0,0,1,0,4,2,3,84,17,10,38,0,2,0,0,5,4,3,3,0,1,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,35,9,0,4,3,0,2,153,33,6,86,0,6,8,0,0,0,4,0,6,4,39,1,1,12,21,0,0,0,2,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,16,14,0,2
"DE4  2",8816,8740,1,0,0,0,0,0,0,0,0,4,2,3,39,2,5,25,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,9,0,2,2,0,0,0,0,0,0,3,0,0,2,9,0,3,1,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1
"DE4  3",11786,11650,0,0,0,0,0,0,0,0,0,6,2,5,72,3,7,39,0,0,5,1,0,1,0,3,8,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,1,12,0,1,2,0,0,0,0,0,2,2,0,5,0,18,1,3,6,3,0,0,2,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,2,2,2,1,0,1
"DE4  4",6619,6578,0,0,0,0,0,0,0,0,0,4,2,4,21,1,2,9,0,0,0,2,0,2,0,0,0,2,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE4  5",5097,5063,1,0,0,0,0,0,0,0,0,1,0,1,17,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,2,1,0
"DE45 1",8496,8416,0,0,0,0,0,0,0,0,0,5,1,6,54,2,7,25,0,0,0,1,1,5,4,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
"DE5  3",12852,12733,1,0,0,0,0,0,0,0,0,5,0,6,51,6,4,34,0,0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,0,0,0,16,0,3,4,0,2,0,0,0,4,3,0,0,0,23,3,1,6,2,0,0,3,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,4,4,0,0
"DE5  8",3779,3760,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE5  9",4714,4684,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,21,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE55 1",6588,6530,0,0,0,0,0,0,0,0,0,1,0,2,36,0,2,25,1,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,4,2,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0
"DE55 2",6905,6766,0,1,0,0,0,0,0,1,0,2,1,0,79,2,2,52,3,1,3,0,1,12,0,1,1,1,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,9,0,0,0,1,0,9,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,8,8,0,0
"DE55 3",3645,3568,0,1,1,0,0,0,0,0,0,0,3,0,40,0,0,28,4,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,17,0,0,6,0,0,5,1,0,2,0,0,2,1,5,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
"DE55 4",8222,8095,3,0,0,0,0,0,0,0,0,2,1,5,90,1,2,75,0,3,0,0,4,1,0,1,1,0,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,3,0,2,0,0,1,0,1,9,1,2,6,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
"DE55 5",7920,7849,0,0,0,0,0,0,0,0,0,4,1,2,29,1,5,20,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,11,0,0,0,0,0,2,0,0,0,0,0,9,0,14,0,2,4,0,0,0,6,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0
"DE55 6",7073,7010,0,0,0,0,0,0,0,0,0,0,0,2,17,1,1,8,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,2,16,0,0,0,8,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,1,2,2,0,0
"DE55 7",9192,8943,1,0,0,0,0,0,0,0,0,5,1,0,190,0,0,158,0,4,0,5,9,10,0,3,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,5,1,0,0,0,0,0,0,10,1,0,2,0,0,0,0,0,2,5,0,0,0,17,0,2,4,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
"DE56 0",12043,11961,4,0,0,0,0,0,0,0,0,4,0,3,30,2,4,6,1,4,0,0,0,0,0,5,5,0,2,1,0,0,0,0,3,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,2,0,0,0,25,4,2,0,0,0,0,9,3,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0
"DE56 1",12947,12798,2,0,0,0,0,0,0,0,0,6,0,7,49,2,5,27,0,3,3,5,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,3,2,2,0,1,1,0,0,28,1,2,2,0,0,2,0,0,1,17,0,1,2,26,3,6,5,0,0,2,2,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,1,2,1
"DE56 2",8953,8902,0,1,0,0,0,1,0,0,0,3,0,3,19,1,6,4,1,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,5,1,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,5,4,1,0
"DE56 4",5263,5192,1,0,0,0,0,0,0,0,0,9,1,3,27,2,8,2,0,1,0,0,0,7,0,0,2,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2,0,0,1,0,1,10,0,4,1,0,0,0,0,0,0,5,0,0,0,11,2,1,2,1,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
"DE6  1",10808,10617,4,0,0,0,0,0,0,0,0,10,2,4,127,4,8,99,2,2,3,0,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,2,1,0,0,0,16,0,8,3,1,0,0,2,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,3,0,1
"DE6  2",5247,5197,3,0,0,0,0,0,0,0,0,2,0,3,29,3,3,2,4,1,4,2,3,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1
"DE6  3",3433,3413,1,0,0,0,0,0,0,0,0,2,0,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,1,0
"DE6  4",1037,1022,1,0,0,0,0,0,0,0,0,0,0,1,7,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE6  5",4419,4345,1,0,0,0,0,0,0,0,0,0,0,3,23,2,11,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,9,4,3,3,0,1,2,0,0,6,2,0,1,0,0,2,0,0,1,0,0,0,0,19,0,3,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"DE65 5",11429,11239,8,1,0,0,0,0,0,1,0,10,0,8,75,6,4,40,2,0,3,0,2,2,0,4,3,2,3,0,0,1,3,0,6,3,1,0,0,2,0,0,0,7,6,10,1,0,0,1,0,0,24,1,1,4,0,0,2,0,2,3,4,0,7,0,17,0,2,2,6,0,0,2,1,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,11,10,0,1
"DE65 6",11192,11025,8,0,0,0,0,0,0,0,0,6,3,7,47,1,15,16,1,0,1,2,0,2,2,1,4,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,10,0,0,4,0,0,1,0,3,28,1,0,8,0,0,4,0,2,0,12,0,0,1,34,1,17,9,5,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,4,4,3,2,0,1
"DE7  4",12184,12085,0,1,1,0,0,0,0,0,0,0,4,3,53,6,3,27,5,0,0,2,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,13,0,0,6,0,2,2,0,0,0,3,0,0,0,11,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,1,2
"DE7  5",9592,9404,3,0,0,0,0,0,0,0,0,1,4,3,126,2,3,93,13,2,0,0,0,3,4,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,23,0,0,7,0,0,3,0,0,5,8,0,0,0,14,3,3,4,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
"DE7  6",10217,10150,1,0,0,0,0,0,0,0,0,2,0,1,24,0,1,9,1,0,0,5,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,9,0,0,4,0,0,5,0,0,0,0,0,0,0,14,0,0,8,0,1,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,6,0,0,6
"DE7  8",13111,12976,1,0,0,0,0,0,0,0,0,4,9,7,57,6,5,25,8,3,0,0,2,2,1,2,1,0,0,2,0,0,0,0,3,0,0,1,0,2,0,0,0,2,2,4,0,0,0,0,0,0,18,0,2,5,0,0,6,0,0,0,5,0,0,0,15,1,2,6,0,0,0,2,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,6,2,2,2
"DE7  9",3003,2988,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE72 2",4005,3988,0,0,0,0,0,0,0,0,0,0,0,5,9,1,1,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"DE72 3",15614,15453,4,0,0,0,0,0,0,0,0,6,1,6,57,2,7,31,1,6,1,0,0,2,2,1,3,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,3,3,0,0,0,0,0,0,16,3,0,5,0,3,1,0,1,0,3,0,0,0,52,2,27,10,3,0,0,7,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,6,5,0,1
"DE73 5",4539,4328,0,0,0,0,0,0,0,0,0,3,1,4,29,2,10,5,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,5,1,1,1,0,2,0,0,0,2,11,1,6,0,2,4,0,0,120,21,2,83,0,1,7,2,0,0,0,2,0,2,16,5,1,5,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,10,0,1
"DE73 6",6329,6183,2,0,0,0,0,0,0,0,0,7,1,7,32,6,4,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4,1,3,1,0,0,1,0,0,52,6,2,33,0,2,3,0,0,0,3,2,0,1,24,4,1,12,1,0,1,2,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,0,1
"DE73 7",1760,1744,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"DE73 8",5687,5629,6,0,0,0,0,0,0,0,0,2,0,2,29,2,13,6,0,4,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0
"DE74 2",11143,10837,2,0,0,0,0,0,0,0,0,13,8,14,147,2,7,79,1,7,13,5,9,10,0,2,7,0,4,0,0,1,0,0,5,0,1,1,0,3,0,0,0,6,3,5,0,0,0,0,0,0,10,1,1,1,0,3,0,1,0,3,0,0,0,0,85,0,15,8,3,0,3,5,10,40,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,4,3,0,1
"DE75 7",18043,17795,3,0,0,0,0,0,0,0,0,7,4,5,143,3,7,106,0,3,0,5,4,0,2,4,7,0,0,2,0,0,0,0,4,0,1,1,2,0,0,0,0,3,4,0,1,0,0,1,0,0,25,7,0,4,0,2,0,0,0,10,0,1,0,1,27,0,7,8,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,6,1,0,0,0,0,0,10,7,1,2
"DH1  1",9102,8673,1,0,0,0,0,0,0,0,0,25,10,25,170,16,42,43,6,1,6,4,1,9,5,17,8,4,1,2,3,2,0,0,7,0,1,0,0,6,0,0,0,1,3,25,16,0,11,2,0,3,20,2,9,0,0,1,1,0,0,3,0,0,0,4,121,15,7,74,6,3,0,9,3,2,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0
"DH1  2",8349,8041,0,1,0,0,0,0,0,1,0,13,4,14,121,25,17,45,0,0,2,6,2,5,3,7,5,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,10,4,26,6,0,1,3,0,2,27,4,2,12,0,3,0,0,0,0,4,2,0,0,71,10,8,27,2,1,1,6,10,1,5,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,3,3,2,1,0
"DH1  3",9643,8790,5,0,0,0,0,0,0,0,0,46,13,22,197,27,61,14,0,2,6,5,0,3,14,27,9,16,8,2,2,0,0,1,11,0,0,1,0,10,0,0,0,21,8,63,18,0,0,12,2,4,59,14,16,3,0,5,2,1,1,4,3,6,1,3,376,28,31,244,14,12,7,26,10,2,2,0,2,0,0,0,10,0,0,1,0,0,0,0,2,0,0,0,1,1,0,5,0,0,2,2,0,0
"DH1  4",7506,7103,2,0,0,0,0,0,0,0,0,26,6,21,148,27,39,20,2,3,7,6,1,4,9,9,9,7,2,2,0,1,0,0,7,0,0,1,0,6,0,0,0,5,5,23,17,0,1,13,0,3,22,6,0,3,0,9,0,0,0,0,2,0,2,0,118,7,14,72,6,3,2,5,5,2,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DH1  5",14186,13570,8,10,6,0,0,2,0,2,0,13,8,15,127,10,26,33,5,1,14,6,0,6,0,6,11,6,0,2,1,0,0,0,10,4,2,1,0,3,0,0,0,16,10,109,26,0,2,20,1,3,103,23,12,8,0,21,2,0,2,5,19,6,0,5,133,11,10,37,9,6,2,19,17,22,0,0,0,1,1,0,17,0,1,0,0,0,10,0,0,0,0,0,0,0,1,5,2,2,8,2,5,1
"DH2  1",10414,10324,0,1,0,0,0,0,0,1,0,5,3,2,33,3,4,14,1,1,0,0,0,6,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,1,0,0,1,0,0,9,4,0,3,0,2,0,0,0,0,0,0,0,0,27,2,8,12,1,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"DH2  2",9919,9827,1,2,0,0,0,0,0,2,0,4,0,3,34,0,3,17,0,0,3,1,1,0,0,0,4,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,12,0,0,5,0,6,0,0,0,0,1,0,0,0,16,2,3,8,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,6,6,0,0
"DH2  3",9174,9107,0,1,0,0,0,0,0,1,0,2,1,4,19,1,3,5,0,0,0,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,0,7,1,0,1,0,3,0,0,2,0,0,0,0,0,23,4,4,6,1,1,0,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0
"DH3  1",7039,6869,0,0,0,0,0,0,0,0,0,2,14,0,68,2,2,55,1,0,0,0,0,2,4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9,10,1,1,8,0,0,30,19,0,0,0,1,0,2,3,2,3,0,0,0,26,0,12,6,0,0,0,5,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,3,3,0,0
"DH3  2",5403,5334,0,2,0,0,0,0,0,2,0,0,0,0,18,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,5,3,0,2,1,0,0,14,8,0,0,2,0,0,0,0,0,4,0,0,0,10,0,4,3,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,6,0,0
"DH3  3",6477,6398,0,0,0,0,0,0,0,0,0,0,1,6,22,1,7,4,1,2,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,3,0,1,20,4,5,4,0,3,0,0,0,0,4,0,0,0,15,1,0,10,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0
"DH3  4",6158,6093,0,0,0,0,0,0,0,0,0,2,0,1,24,0,1,9,0,0,0,1,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,23,5,1,4,0,9,0,2,0,0,2,0,0,0,11,0,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"DH4  4",7930,7861,0,0,0,0,0,0,0,0,0,1,1,3,27,1,2,16,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,0,1,2,1,0,11,0,0,9,0,0,0,0,0,0,0,0,0,2,11,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"DH4  5",6642,6611,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,7,1,0,2,0,0,0,0,0,0,0,4,0,0,6,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"DH4  6",8636,8549,1,0,0,0,0,0,0,0,0,2,0,4,22,4,1,10,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,19,0,3,4,0,6,0,0,0,0,3,3,0,0,22,1,9,4,0,0,0,2,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,2,0,2
"DH4  7",9095,8987,1,0,0,0,0,0,0,0,0,3,1,0,29,3,2,18,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,1,2,1,3,36,3,0,21,2,0,0,2,0,4,4,0,0,0,16,2,0,3,10,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,3,0,1
