"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"LU7  3",8574,6639,6335,54,250,236,168,9,18,112,1,11,17,68,4,40,9,15,14,6,8,19,2,3,2,1,0,14,0,0,9,1,4,54,1,1,0,0,11,5,1,5,0,21,0,0,15,2,4,0,21,4,6,0,11,0,24,13,1,12,0,2,9,2,7,7,7,4,3,0,0,1831
"LU7  4",8143,6792,6462,73,257,250,113,22,8,58,3,3,19,137,9,105,3,20,7,7,0,53,2,13,4,8,1,38,2,0,19,15,2,40,0,0,0,0,12,11,0,1,0,17,0,2,7,3,5,0,11,3,1,0,7,0,25,16,0,16,0,5,4,3,1,9,9,7,2,0,0,1224
"LU7  9",6472,5483,5301,57,125,118,50,10,8,17,1,4,10,68,3,50,4,11,7,1,6,16,2,4,0,4,0,10,2,0,0,5,3,12,0,0,0,0,1,1,0,0,0,8,0,0,6,2,0,0,3,1,2,0,0,0,12,10,3,7,0,2,0,0,0,11,11,5,6,0,0,938
"M1   1",3764,3355,3138,35,182,172,77,17,7,11,7,7,28,95,12,54,1,28,10,6,4,92,6,49,9,37,3,37,5,0,6,11,15,100,20,2,3,15,16,12,0,2,2,46,0,3,15,28,0,0,18,11,3,2,2,0,29,14,3,11,6,6,3,1,2,6,6,3,3,0,0,182
"M1   2",10429,9237,8302,114,821,801,257,19,45,41,26,32,94,544,9,156,14,365,20,8,12,126,7,73,9,58,6,46,8,0,10,14,14,450,50,10,2,38,200,192,1,0,7,131,2,9,69,44,6,1,65,40,4,8,13,4,43,26,8,18,1,10,6,4,2,19,19,13,6,0,0,554
"M1   3",5643,5054,4719,45,290,284,113,9,10,12,22,17,43,171,10,92,6,63,6,2,4,52,1,36,5,19,12,15,2,0,3,6,4,236,12,4,1,7,82,67,3,5,7,105,2,15,42,42,2,2,37,19,3,6,9,0,55,27,14,13,6,11,11,10,1,17,17,11,6,0,0,229
"M1   4",1475,1188,1044,15,129,122,50,8,2,3,19,6,12,72,4,37,1,30,7,5,2,25,0,13,5,7,1,12,0,0,5,3,4,162,3,2,0,1,113,101,7,2,3,18,4,4,5,5,0,0,28,10,2,0,16,0,19,13,8,5,0,3,3,3,0,3,3,2,1,0,1,77
"M1   5",11488,9874,8987,126,761,736,328,59,36,41,34,48,110,408,10,118,9,271,25,4,21,117,13,61,5,48,8,43,7,0,9,7,20,943,272,5,8,259,377,326,7,10,34,130,1,4,71,49,3,2,151,77,3,26,45,13,90,32,16,16,19,33,6,4,2,14,14,6,8,0,2,448
"M1   6",14105,12933,12274,165,494,474,228,38,26,32,30,26,76,246,13,136,4,93,20,6,14,168,12,102,12,75,15,54,10,0,15,16,13,304,27,9,2,16,83,66,2,2,13,131,3,4,68,50,5,1,63,33,7,4,19,0,70,43,20,23,5,13,9,8,1,27,27,18,9,0,1,602
"M1   7",3830,2784,2452,27,305,280,165,25,14,25,10,24,67,115,32,16,13,54,25,12,13,57,5,35,2,30,3,17,2,0,0,2,13,769,49,25,2,22,405,344,15,14,32,138,8,6,65,57,2,0,175,92,2,25,56,2,54,20,8,12,5,21,8,7,1,8,8,6,2,0,0,158
"M11  1",5435,3733,3431,58,244,234,115,7,18,34,10,4,42,119,12,75,0,32,10,5,5,270,7,207,56,134,17,56,1,1,3,21,30,91,6,5,0,1,18,15,2,0,1,55,0,5,6,43,0,1,12,6,1,0,5,0,16,4,1,3,0,1,11,8,3,1,1,1,0,0,0,1324
"M11  2",7207,5710,5251,78,381,362,108,6,14,13,12,4,59,254,5,184,2,63,19,9,10,178,3,139,16,99,24,36,6,0,0,16,14,112,2,0,2,0,26,25,0,0,1,73,11,2,13,42,1,4,7,1,1,0,5,4,20,5,2,3,0,2,13,12,1,2,2,2,0,0,0,1185
"M11  3",3687,2699,2545,29,125,119,83,13,11,11,18,6,24,36,5,20,1,10,6,3,3,102,2,75,10,56,9,25,0,0,5,9,11,133,15,2,1,12,77,71,4,0,2,34,1,1,7,21,4,0,7,3,1,0,3,0,11,3,1,2,0,0,8,7,1,3,3,3,0,0,0,739
"M11  4",8568,5953,5511,87,355,350,188,22,27,13,27,24,75,162,6,98,2,56,5,1,4,290,11,207,34,134,39,72,7,1,6,32,26,150,19,8,1,10,44,43,0,1,0,71,6,6,13,29,11,6,16,7,1,0,8,0,32,9,3,6,3,14,6,5,1,10,10,8,2,0,0,2133
"M12  4",7969,5899,5437,111,351,330,237,23,34,13,23,17,127,93,2,45,27,19,21,3,18,197,22,128,20,81,27,47,6,3,3,10,25,713,24,8,4,12,38,32,1,0,5,639,14,82,47,492,1,3,12,7,0,1,4,0,41,8,4,4,1,2,30,28,2,1,1,1,0,0,0,1118
"M12  5",11426,8365,7591,173,601,584,321,27,68,35,24,16,151,263,5,160,24,74,17,4,13,267,15,183,53,92,38,69,3,1,10,24,31,812,28,14,9,5,39,36,1,0,2,722,36,47,43,588,6,2,22,11,5,0,6,1,66,19,3,16,8,5,34,29,5,5,5,3,2,0,1,1910
"M12  6",1563,1253,1200,9,44,43,29,7,4,2,3,2,11,14,0,12,0,2,1,0,1,29,8,16,5,7,4,5,1,0,4,0,0,49,2,0,1,1,19,12,2,0,5,25,2,0,4,19,0,0,3,0,0,1,2,0,8,4,4,0,0,0,4,4,0,0,0,0,0,0,0,224
"M13  0",23441,19076,17717,379,980,932,546,48,112,44,34,56,252,386,33,118,61,174,48,13,35,443,67,215,35,144,36,161,22,3,18,27,91,1997,167,50,12,105,271,224,13,10,24,1414,31,240,344,783,11,5,138,86,14,16,22,7,132,56,33,23,16,17,43,34,9,17,16,12,4,1,1,1775
"M13  9",17488,13975,12500,241,1234,1115,757,106,171,89,45,80,266,358,23,154,43,138,119,49,70,324,65,183,30,122,31,76,16,1,9,19,31,1564,200,71,23,106,724,608,19,29,68,397,17,38,136,190,13,3,214,126,8,21,59,29,280,164,59,105,30,44,42,28,14,50,50,39,11,0,1,1294
"M14  4",8857,6602,5906,111,585,540,412,42,33,22,12,19,284,128,7,46,33,42,45,1,44,282,66,146,19,84,43,70,13,4,3,8,42,742,111,9,44,58,98,85,2,5,6,418,15,26,133,239,3,2,111,68,2,0,41,4,119,14,8,6,2,20,83,76,7,2,2,2,0,0,3,1107
"M14  5",10661,8178,7332,207,639,585,316,53,42,30,26,38,127,269,21,76,74,98,54,23,31,255,40,120,7,106,7,95,20,0,9,13,53,1362,180,37,26,117,205,162,4,15,24,700,25,43,201,404,14,13,268,173,6,44,45,9,112,45,14,31,17,31,19,13,6,13,12,8,4,1,0,741
"M14  6",17876,15855,14719,394,742,671,416,58,62,56,24,65,151,255,26,107,25,97,71,3,68,138,28,67,8,49,10,43,8,0,7,9,19,618,132,38,19,75,118,78,8,4,28,305,6,39,98,149,9,4,61,37,1,6,17,2,135,72,18,54,30,20,13,8,5,13,12,9,3,1,3,1114
"M14  7",9408,6697,6045,214,438,425,266,47,28,20,7,17,147,159,7,87,17,48,13,1,12,256,60,120,7,77,36,76,6,8,5,12,45,656,143,17,52,74,54,46,0,0,8,414,6,23,131,239,5,10,45,16,2,0,27,0,97,22,11,11,5,12,58,51,7,10,10,9,1,0,5,1687
"M15  4",7582,6093,5585,72,436,412,170,18,28,18,14,18,74,242,4,133,6,99,24,8,16,155,29,92,8,66,18,34,0,0,9,5,20,422,154,35,12,107,125,105,3,5,12,95,23,9,27,28,8,0,45,19,5,2,19,3,78,30,15,15,8,12,28,26,2,13,13,10,3,0,1,820
"M15  5",6096,4550,4089,62,399,373,199,23,26,27,17,21,85,174,19,88,15,52,26,2,24,184,31,113,22,71,20,40,2,0,5,9,24,569,179,31,9,139,157,137,3,4,13,112,10,0,56,42,1,3,117,49,6,4,58,4,84,34,11,23,10,9,31,27,4,6,6,5,1,0,0,703
"M15  6",13491,10670,9652,186,832,759,411,54,57,46,35,47,172,348,19,78,15,236,73,20,53,165,26,75,8,53,14,64,6,1,14,18,25,1735,215,57,6,152,1030,818,31,26,155,233,12,11,95,97,13,5,233,98,2,18,115,24,136,67,20,47,12,28,29,21,8,28,27,23,4,1,5,752
"M16  0",9549,8263,7786,192,285,282,164,41,27,12,9,21,54,118,10,77,5,26,3,0,3,75,18,31,4,25,2,26,2,1,6,12,5,330,77,7,8,62,12,7,3,1,1,232,2,6,53,161,10,0,9,8,0,0,1,0,58,30,11,19,2,2,24,21,3,10,8,7,1,2,0,813
"M16  7",6786,5263,4812,87,364,356,237,8,13,2,13,8,193,119,4,92,0,23,8,1,7,175,36,90,5,65,20,49,8,7,6,13,15,229,49,7,9,33,31,30,1,0,0,134,7,7,36,79,5,0,15,6,2,0,7,0,84,8,1,7,1,4,71,66,5,5,5,3,2,0,2,1028
"M16  8",8901,7198,6514,112,572,547,273,25,36,24,13,26,149,274,3,195,10,66,25,6,19,161,46,63,7,46,10,52,3,2,4,6,37,516,135,17,11,107,35,25,1,6,3,310,12,9,40,244,5,0,35,24,6,0,5,1,75,31,12,19,6,13,25,20,5,11,11,10,1,0,0,940
"M16  9",11998,10408,9938,108,362,357,198,8,29,15,13,14,119,159,7,118,7,27,5,2,3,106,33,43,10,23,10,30,6,1,6,9,8,351,33,9,3,21,20,13,0,0,7,276,11,6,98,158,2,1,21,7,2,2,10,1,58,7,2,5,2,5,44,41,3,8,8,7,1,0,0,1067
"M18  7",10111,6405,5746,122,537,521,287,26,48,55,34,5,119,234,6,158,25,45,16,1,15,480,12,362,54,269,39,106,5,1,5,44,51,325,23,14,0,9,41,39,0,0,2,226,10,13,17,183,1,2,35,12,15,1,7,0,59,13,1,12,1,4,41,36,5,2,2,2,0,0,1,2839
"M18  8",9669,6457,5893,89,475,460,193,26,22,21,18,19,87,267,11,157,11,88,15,2,13,420,14,296,53,200,43,110,5,0,11,35,59,151,9,3,0,6,45,35,2,1,7,93,11,5,10,60,3,4,4,0,1,0,3,0,61,12,2,10,0,2,47,42,5,5,5,3,2,0,0,2575
"M19  1",9736,7325,6847,237,241,230,142,10,44,5,6,8,69,88,7,55,1,25,11,3,8,54,12,25,5,17,3,17,4,0,3,3,7,389,85,3,14,68,20,14,0,0,6,268,3,19,42,195,4,5,16,9,3,0,4,0,48,16,4,12,6,6,20,17,3,7,7,6,1,0,0,1913
"M19  2",9969,7677,7078,247,352,342,230,20,34,16,14,12,134,112,4,59,24,25,10,3,7,139,17,86,12,60,14,36,3,0,3,11,19,720,134,13,22,99,29,17,1,8,3,545,20,28,34,451,1,11,12,3,0,0,9,0,24,17,5,12,0,1,6,5,1,7,7,6,1,0,0,1402
"M19  3",7915,5549,4934,228,387,377,197,21,28,16,21,21,90,180,5,76,47,52,10,1,9,193,11,121,31,69,21,61,5,0,4,13,39,789,56,8,14,34,36,33,0,2,1,678,28,29,29,591,0,1,18,7,1,4,6,1,43,15,4,11,6,5,17,16,1,6,6,5,1,0,2,1333
"M20  1",5742,4383,4045,120,218,202,107,14,13,11,8,14,47,95,5,56,0,34,16,0,16,66,20,32,3,26,3,14,0,0,4,5,5,199,70,14,10,46,22,10,0,2,10,91,3,5,43,39,1,0,14,4,1,0,9,2,26,6,1,5,5,2,13,11,2,3,2,2,0,1,0,1065
"M20  2",11641,10275,9666,182,427,384,210,42,27,31,16,17,77,174,5,84,17,68,43,10,33,87,9,36,8,23,5,42,8,0,2,10,22,294,30,10,2,18,61,29,0,10,22,159,3,12,70,50,6,18,44,14,23,3,4,0,76,53,13,40,3,8,12,11,1,25,25,15,10,0,0,884
"M20  3",7177,6371,5943,164,264,238,143,18,28,26,5,20,46,95,3,61,7,24,26,1,25,50,5,25,4,15,6,20,1,0,4,7,8,182,22,8,11,3,28,20,0,2,6,108,0,6,69,26,2,5,23,17,0,0,6,1,35,19,8,11,3,7,6,3,3,13,13,9,4,0,0,526
"M20  4",7021,5840,5413,191,236,225,146,21,22,17,5,17,64,79,3,54,1,21,11,4,7,50,18,22,6,13,3,10,1,0,1,5,3,252,80,17,29,34,25,21,0,3,1,127,2,11,33,76,4,1,20,6,2,2,10,0,36,14,3,11,7,13,2,2,0,7,6,4,2,1,1,835
"M20  5",4276,3758,3546,84,128,118,76,25,6,13,5,7,20,42,4,20,0,18,10,1,9,11,1,8,0,4,4,2,1,0,0,0,1,112,27,3,10,14,23,15,0,1,7,52,0,7,20,23,0,2,10,4,2,1,3,0,21,11,1,10,0,10,0,0,0,3,3,3,0,0,0,371
"M20  6",6326,5467,5118,138,211,196,129,20,26,18,11,23,31,67,3,38,1,25,15,2,13,47,6,30,3,25,2,11,1,0,3,5,2,140,32,10,2,20,15,7,2,1,5,77,3,11,33,27,2,1,16,6,2,1,7,0,46,31,7,24,5,4,6,2,4,11,11,8,3,0,0,615
"M21  0",4746,4068,3861,82,125,120,85,12,26,15,3,8,21,35,1,26,1,7,5,0,5,20,6,10,3,5,2,4,1,0,1,1,1,196,60,2,1,57,9,5,0,2,2,122,2,0,15,105,0,0,5,3,0,0,2,0,22,14,5,9,0,4,4,4,0,5,5,4,1,0,0,435
"M21  7",6795,5214,4847,128,239,226,132,14,11,11,8,27,61,94,4,61,3,26,13,2,11,77,20,31,9,13,9,26,4,2,3,10,7,177,48,20,1,27,12,11,1,0,0,106,1,6,21,67,8,3,9,3,0,0,6,2,26,10,6,4,0,3,13,10,3,8,8,4,4,0,0,1293
"M21  8",4389,3768,3601,87,80,75,56,8,10,3,1,7,27,19,0,9,2,8,5,2,3,18,6,7,1,5,1,5,0,1,3,1,0,80,8,2,0,6,26,18,1,6,1,38,0,4,7,27,0,0,8,0,6,0,2,0,14,4,2,2,0,5,5,4,1,4,4,3,1,0,0,505
"M21  9",6943,5861,5511,144,206,199,106,19,21,15,6,19,26,93,18,46,3,26,7,3,4,30,5,20,1,19,0,5,0,0,2,2,1,122,36,15,9,12,19,14,0,5,0,54,3,8,10,33,0,0,13,7,1,1,4,0,45,25,9,16,1,4,15,12,3,17,15,11,4,2,1,867
"M22  0",4421,3596,3495,42,59,58,31,10,2,4,2,1,12,27,3,16,2,6,1,0,1,20,1,11,1,10,0,8,0,0,1,5,2,53,5,4,0,1,3,1,0,2,0,45,1,3,22,13,6,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,1,1,0,0,0,749
"M22  1",6764,5030,4696,69,265,255,67,9,23,1,18,3,13,188,22,147,3,16,10,2,8,88,15,41,10,27,4,32,5,0,7,7,13,74,9,7,0,2,8,8,0,0,0,44,0,0,30,11,3,0,13,2,7,0,4,0,15,1,0,1,0,9,5,5,0,6,6,6,0,0,0,1551
"M22  4",12537,10388,9838,133,417,407,111,21,14,10,13,12,41,296,12,212,15,57,10,3,7,85,15,42,5,27,10,28,2,0,10,8,8,232,32,21,3,8,29,20,0,4,5,160,1,2,99,45,2,11,11,2,6,0,3,0,35,15,6,9,1,7,12,11,1,10,10,8,2,0,0,1787
"M22  5",8333,6627,6390,71,166,164,70,9,11,17,7,4,22,94,2,63,0,29,2,1,1,46,7,22,2,19,1,17,1,0,1,5,10,208,14,6,1,7,11,9,0,2,0,175,3,1,133,38,0,0,8,0,4,0,4,0,20,6,1,5,1,3,10,8,2,8,8,3,5,0,0,1424
"M22  8",3454,2132,1931,27,174,165,50,1,14,2,1,4,28,115,6,87,4,18,9,0,9,52,4,18,2,15,1,30,0,1,5,13,11,34,6,2,1,3,7,6,1,0,0,20,0,1,16,2,1,0,1,0,0,0,1,0,5,2,0,2,0,1,2,2,0,5,3,1,2,2,0,1226
"M22  9",7830,4952,4651,68,233,215,78,2,16,7,12,8,33,137,19,89,12,17,18,4,14,121,4,51,10,32,9,66,1,0,8,16,41,157,16,4,0,12,14,13,0,0,1,110,3,6,80,15,5,1,16,5,6,1,4,1,25,13,8,5,0,7,5,5,0,2,2,2,0,0,0,2573
"M23  0",6558,4588,4333,58,197,182,63,8,15,6,7,7,20,119,5,84,10,20,15,7,8,59,11,26,5,15,6,22,1,0,2,12,7,99,23,8,2,13,18,10,1,2,5,50,2,5,21,19,0,3,8,3,1,0,4,0,15,6,0,6,1,4,4,3,1,5,5,3,2,0,0,1792
"M23  1",6681,4942,4699,71,172,159,55,2,6,4,6,0,37,104,0,84,3,17,13,9,4,68,5,36,2,19,15,27,4,0,6,11,6,88,5,4,0,1,10,10,0,0,0,62,2,3,31,15,8,3,11,4,4,0,3,0,19,6,2,4,1,3,9,8,1,2,2,1,1,0,0,1562
"M23  2",13652,11641,11119,184,338,322,112,18,16,28,10,12,28,210,1,169,2,38,16,7,9,119,9,58,12,40,6,52,1,0,7,15,29,208,16,5,0,11,18,17,0,1,0,147,0,7,101,31,8,0,27,15,5,3,4,0,34,17,5,12,0,5,12,9,3,13,13,7,6,0,0,1637
"M23  9",5986,4673,4459,51,163,151,54,12,8,9,6,6,13,97,4,66,3,24,12,6,6,28,6,16,4,6,6,6,0,0,1,3,2,79,8,7,0,1,14,12,0,1,1,48,0,1,25,20,2,0,9,1,3,1,4,0,16,12,2,10,1,0,3,3,0,11,4,2,2,7,0,1179
"M24  1",7712,6470,6319,56,95,92,36,0,3,7,8,4,14,56,6,42,1,7,3,1,2,22,0,19,1,14,4,3,1,0,1,0,1,23,0,0,0,0,5,4,1,0,0,10,0,0,1,9,0,0,8,1,4,0,3,0,10,6,3,3,0,1,3,1,2,0,0,0,0,0,0,1187
"M24  2",12001,9507,9168,72,267,261,60,9,9,10,5,9,18,201,8,166,4,23,6,2,4,35,1,21,3,16,2,13,0,0,7,5,1,71,2,1,0,1,13,9,4,0,0,47,0,2,16,29,0,0,9,0,7,0,2,0,12,7,1,6,0,2,3,3,0,2,2,2,0,0,0,2374
"M24  4",8927,6641,6356,59,226,221,69,1,17,14,12,2,23,152,10,108,4,30,5,1,4,47,5,31,0,25,6,11,0,0,1,9,1,35,1,1,0,0,4,4,0,0,0,25,0,2,3,20,0,0,5,1,1,0,3,0,19,9,3,6,0,9,1,1,0,5,5,3,2,0,0,2180
"M24  5",7331,5462,5343,43,76,70,22,0,3,2,7,3,7,48,2,35,0,11,6,0,6,52,2,32,2,26,4,18,0,0,2,11,5,39,1,1,0,0,10,9,0,1,0,23,1,0,8,14,0,0,5,3,1,0,1,0,7,4,2,2,0,0,3,2,1,4,2,2,0,2,0,1767
"M24  6",4852,3604,3454,23,127,127,32,3,4,6,8,0,11,95,3,82,1,9,0,0,0,35,0,20,3,15,2,15,1,0,2,10,2,40,4,4,0,0,7,6,0,1,0,21,0,1,4,13,3,0,8,4,4,0,0,0,4,1,0,1,0,2,1,1,0,1,1,1,0,0,0,1168
"M25  0",7488,6396,5911,124,361,306,137,14,17,11,1,8,86,169,8,145,0,16,55,1,54,30,0,9,0,9,0,21,0,0,17,3,1,106,27,4,0,23,3,3,0,0,0,66,2,1,13,48,2,0,10,1,4,1,4,0,35,33,2,31,0,2,0,0,0,7,7,6,1,0,0,914
"M25  1",6125,4904,4688,75,141,138,51,3,12,10,5,7,14,87,4,59,1,23,3,2,1,22,3,5,2,2,1,14,0,0,1,9,4,80,19,10,0,9,6,4,1,0,1,50,0,1,16,28,0,5,5,0,1,0,4,0,12,8,0,8,0,3,1,1,0,4,4,3,1,0,1,1102
"M25  2",2773,2159,2069,22,68,64,20,2,2,6,0,3,7,44,2,38,3,1,4,0,4,17,0,12,4,7,1,5,0,0,1,4,0,58,5,1,4,0,4,4,0,0,0,8,0,0,0,8,0,0,41,0,40,0,1,0,11,7,3,4,0,4,0,0,0,0,0,0,0,0,1,527
"M25  3",4750,4030,3870,70,90,86,31,3,3,6,4,1,14,55,0,37,0,18,4,1,3,40,0,25,4,15,6,15,1,0,6,6,2,64,9,6,2,1,4,3,1,0,0,46,2,0,27,16,1,0,5,2,1,0,2,0,8,5,1,4,1,0,2,1,1,0,0,0,0,0,0,608
"M25  9",5808,4752,4457,58,237,227,71,11,7,16,2,4,31,156,11,119,0,26,10,0,10,29,1,7,0,6,1,21,0,0,6,9,6,85,17,9,3,5,10,5,1,1,3,36,5,0,13,18,0,0,22,2,17,0,3,0,9,8,1,7,0,1,0,0,0,1,1,1,0,0,0,932
"M26  1",7826,6097,5950,33,114,111,61,8,11,13,4,2,23,50,2,32,1,15,3,2,1,23,0,15,0,14,1,8,0,0,3,4,1,54,15,13,1,1,2,2,0,0,0,24,4,1,6,11,2,0,13,0,8,0,5,0,15,14,1,13,1,0,0,0,0,1,1,1,0,0,0,1636
"M26  2",6141,4696,4552,22,122,116,32,10,8,7,2,3,2,84,5,64,2,13,6,1,5,10,0,4,0,4,0,6,0,0,2,3,1,33,3,2,0,1,5,5,0,0,0,17,1,0,5,11,0,0,8,3,0,0,5,0,4,2,0,2,0,2,0,0,0,1,1,0,1,0,0,1397
"M26  3",7744,5873,5766,39,68,64,25,0,5,8,3,1,8,39,0,27,0,12,4,0,4,18,3,9,0,9,0,6,0,0,1,4,1,39,5,1,0,4,9,9,0,0,0,18,0,1,5,11,1,0,7,0,7,0,0,0,4,3,0,3,0,1,0,0,0,2,1,1,0,1,0,1808
"M26  4",5666,4269,4209,33,27,26,17,5,0,4,0,3,5,9,1,8,0,0,1,0,1,9,0,4,1,2,1,5,3,0,0,1,1,28,0,0,0,0,2,2,0,0,0,20,0,3,2,15,0,0,6,0,4,0,2,0,4,4,0,4,0,0,0,0,0,3,2,2,0,1,0,1353
"M27  0",5796,4900,4785,42,73,73,45,15,6,7,0,5,12,28,2,12,0,14,0,0,0,18,3,10,1,4,5,5,2,0,0,2,1,25,5,2,2,1,14,11,2,1,0,5,0,0,4,1,0,0,1,0,0,0,1,0,7,4,1,3,1,1,1,1,0,3,3,2,1,0,0,843
"M27  4",6547,5400,5244,44,112,107,48,2,13,16,4,4,9,59,2,41,3,13,5,1,4,35,2,19,2,12,5,14,0,0,7,1,6,59,4,0,3,1,16,13,0,0,3,31,1,8,13,7,2,0,8,4,1,0,3,0,15,6,4,2,1,6,2,1,1,3,3,3,0,0,1,1034
"M27  5",8236,6736,6537,66,133,131,68,9,11,15,7,10,16,63,5,34,6,18,2,1,1,49,9,15,5,6,4,25,0,0,8,13,4,53,13,6,4,3,7,4,1,1,1,23,0,0,17,3,2,1,10,0,8,0,2,0,14,10,2,8,1,2,1,0,1,5,5,2,3,0,0,1379
"M27  6",4246,3319,3235,21,63,59,20,0,5,5,0,3,7,39,0,19,0,20,4,1,3,20,1,8,0,8,0,11,1,0,0,7,3,37,6,5,1,0,8,5,3,0,0,20,0,4,11,5,0,0,1,0,0,0,1,2,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,866
"M27  8",9672,7338,7046,44,248,235,69,4,6,25,14,4,16,166,15,112,2,37,13,1,12,96,1,60,2,46,12,35,1,0,11,19,4,67,9,4,4,1,9,8,1,0,0,40,2,0,14,23,1,0,9,3,0,0,6,0,14,8,2,6,0,0,6,6,0,4,4,3,1,0,0,2153
"M27  9",6210,4958,4815,21,122,119,27,3,3,8,5,1,7,92,1,64,1,26,3,2,1,31,2,14,0,7,7,15,1,0,1,8,5,36,4,1,2,1,3,3,0,0,0,25,0,1,8,14,2,0,4,0,3,0,1,0,3,1,1,0,0,2,0,0,0,2,2,2,0,0,0,1180
"M28  0",4833,3595,3502,15,78,77,27,0,2,2,3,2,18,50,0,38,1,11,1,0,1,30,0,20,2,14,4,10,0,0,2,6,2,21,6,6,0,0,0,0,0,0,0,13,0,0,5,8,0,0,2,2,0,0,0,0,3,2,1,1,0,0,1,0,1,4,4,4,0,0,1,1179
"M28  1",6839,5821,5708,38,75,68,34,4,3,7,0,6,14,34,3,20,2,9,7,4,3,13,4,3,0,3,0,6,1,0,2,3,0,42,3,3,0,0,4,4,0,0,0,29,0,2,21,6,0,0,6,0,1,0,5,0,15,8,0,8,0,4,3,1,2,0,0,0,0,0,0,948
"M28  2",4388,3868,3777,22,69,61,35,7,2,2,0,9,15,26,2,14,1,9,8,1,7,8,0,4,0,2,2,4,0,0,3,0,1,47,7,2,5,0,10,9,0,0,1,23,0,0,20,1,2,0,7,2,2,1,2,0,4,4,2,2,0,0,0,0,0,1,1,1,0,0,0,460
"M28  3",10519,8265,8048,63,154,146,50,11,5,3,8,5,18,96,2,77,3,14,8,3,5,30,1,13,0,7,6,16,0,0,2,10,4,52,6,6,0,0,9,7,0,2,0,33,0,6,14,13,0,0,4,2,0,0,2,0,13,6,3,3,1,2,4,4,0,8,6,3,3,2,0,2151
"M28  7",4950,4169,4107,22,40,36,15,0,1,7,3,2,2,21,3,15,2,1,4,2,2,7,1,3,0,1,2,3,0,0,0,2,1,36,1,0,0,1,5,3,2,0,0,29,0,0,29,0,0,0,1,1,0,0,0,0,6,6,1,5,0,0,0,0,0,3,3,2,1,0,0,729
"M29  7",9688,8178,8024,63,91,83,19,7,1,1,3,4,3,64,9,41,3,11,8,5,3,23,2,5,0,3,2,16,1,0,0,12,3,28,2,2,0,0,3,3,0,0,0,15,0,3,10,1,1,0,8,0,2,0,6,0,6,3,0,3,0,3,0,0,0,3,3,2,1,0,0,1450
